,1.0
n ng,1.51122325059e-05
wyz {{nlb\positive},6.70001936306e-07
uden,0.000678845961865
{{dlb\negative}} v,0.0782869122492
y x,9.20281674999e-05
ule b,0.000528666484368
r {{nb\positive}},4.71743792624e-06
uden {{nb\positive},8.3387652755e-05
vf {{vb\negtive},1.93219913244e-06
rz a,0.0001998787853
uls wd,0.0145253069781
vi v,0.00677075997831
t wd,0.000355442806053
nz {{db\negative},1.68727248185e-06
{{adb\negative}} {{vlb\positive},0.000153073109048
{{nb\negative}} wn,0.000169015000081
{{nb\positive}} {{vb\negative},9.70181677064e-06
d {{adb\positive},7.33195006448e-07
rr {{vb\positive},4.57616213022e-05
n {{vnb\positive},1.77316861403e-06
ule {{ab\positive},8.72429912627e-05
b {{bb\positive},3.11457386155e-07
p {{vb\positive},1.32825044881e-05
nz {{db\negative}},1.68727248185e-06
n {{bb\positive},3.40305087541e-07
x {{nb\negative},2.06324815237e-05
t ude1,0.000244337567312
ude1,0.0148347808725
ude2,0.000379355096336
ude3,0.000119796346211
d vf,4.78506214735e-06
v {{nlb\positive},2.54604153302e-08
wd {{adb\positive}},1.73816768081e-06
c {{vb\positive},6.09128905375e-05
ns v,0.00593900713614
{{ab\positive}} {{nb\negetive},1.49000430611e-07
uzhi {{nb\positive},0.000189012012911
{{nb\positive}} {{vnb\positive}},1.23733315336e-05
{{adb\negative}} p,0.00785331602942
ns x,0.00134075519892
{{vb\positive}} {{vb\positive},9.98302885095e-05
m {{bb\negative}},1.60692617319e-07
vl p,0.000406206001522
v {{ab\negetive},6.11049967924e-08
vshi {{nb\negative},5.18581498701e-05
nsf n,0.0296762170976
{{anb\positive}} wn,0.000454227812718
ude3 d,0.00860869854581
n {{vb\negative},4.63441796848e-06
wd {{ab\positive},3.06466406879e-06
nsf,0.000598981731057
uzhi ng,0.000898472596586
rzv {{bb\negative},9.85978158119e-07
d {{vshib\positive},1.85228212155e-07
{{vb\positive}} {{vib\positive},2.41627449896e-06
wd {{vb\Positive},9.14825095162e-08
{{db\negative}} {{vb\positive},0.000174148392178
{{vib\positive}} ude1,0.00390388970329
wd rr,8.45984506751e-05
q v,0.00600108735011
wd ry,4.39116045678e-06
wd rz,0.000159042342794
an {{vnb\negative},6.58879904163e-05
vg wky,6.50323022291e-05
wn v,0.010323548868
v wd,0.000471211182764
q n,0.0288490054712
cc {{vlb\positive},2.04097478731e-06
v wm,3.66629980754e-06
{{fb\positive}} ude1,0.0148347808725
vi {{nb\positive},3.06505966883e-05
m {{anb\positive},3.21385234638e-07
d d,0.00345412798243
d a,0.00048072895328
wn {{vnb\positive},4.82695900486e-06
t {{bb\positive},2.97533408891e-07
d m,0.000153430702402
wyy {{vnb\positive},5.89601703949e-06
vshi {{vb\negtive},1.60800464713e-06
d w,0.000396882315911
d v,0.01730966904
d t,0.000246006219269
{{adb\positive}} {{vb\positive}},0.000824913436631
wd {{nb\positive},1.62381454391e-05
{{db\negative}} {{vb\negative},0.000153073109048
nz vn,0.000157478764973
d vshi,5.74979241899e-05
d {{vlb\negative},6.01991689505e-07
vn {{nb\positive},2.02512870976e-05
vg {{vb\positive}},8.95620302628e-05
n ww,6.80610175082e-07
vyou {{nlb\positive},1.84870904647e-06
{{ab\negative}} {{nb\negative},0.000128781072177
n wn,7.66044662849e-05
n wm,1.6119714673e-06
x {{vnb\positive},3.51871777924e-06
{{vnb\negative}} cc,0.000272264423208
d vyou,1.25029043205e-05
dg n,0.0296762170976
n wd,0.00114143699599
ude1 {{nb\negative},7.27968375699e-05
v {{vnb\positive},1.34430992943e-06
{{vib\positive}} wd,0.00275216342744
c {{db\positive},8.95338910399e-07
p {{vb\negative},7.00504058355e-06
ad,0.00135769192373
{{nb\negative}},0.00257562144355
c {{nb\negative},3.84995731472e-06
{{vib\positive}} wn,0.000191253815881
m,0.00992313067785
{{db\positive}} {{nb\positive},9.45060064557e-05
n {{vnb\negative},1.77316861403e-06
v {{bb\positive}},9.67495782546e-08
wyy {{bb\negative},5.36001549044e-07
v {{bb\negative},4.07366645282e-08
{{mb\positive}} ude1,0.0148347808725
wky {{db\negative},6.30507085323e-06
q {{mb\negative},2.78272581211e-07
ude1 {{vnb\negative},6.20748227341e-06
rz {{vb\positive},1.71293500503e-05
wd {{ab\positive}},3.06466406879e-06
q {{vnb\positive},3.06099839332e-06
nl,0.000798642308076
wyy v,0.00735581725831
{{nb\negative}} {{ab\negative},6.191025644e-06
{{vb\positive}} wn,2.31453662532e-05
{{db\negative}},0.000359389038634
ng,0.00269541778976
nz,0.00425277029051
wn {{nlb\negative},4.38814454987e-07
vx {{vnb\positive},7.63918729464e-05
{{vlb\positive}} ude2,4.94810995221e-05
{{xb\positive},0.000179694519317
nr,0.00161725067385
ns,0.00289507836678
nt,0.000339422980932
{{nb\negative}} {{vib\negative},5.5719230796e-06
v {{anb\negative},3.05524983962e-08
wm wyz,0.000818109214336
a {{vdb\positive},4.35940124496e-08
vyou d,0.00573913236387
vf {{vb\negative},2.22202900231e-05
rzv {{ab\negative},1.97195631624e-05
cc {{vib\negative},1.59728461615e-06
vyou q,0.000318347697803
p {{ab\negative},6.76815515319e-07
pba {{vnb\positive},9.76118376538e-05
d {{ab\positive},4.24018248992e-05
nz {{vlb\positive},2.15595928237e-06
{{nb\negative}} wd,0.00189166788552
v vyou,1.92480739896e-06
{{mb\positive}},1.99660577019e-05
wyz {{ab\negative},1.60800464713e-05
n {{nzb\positive},1.79107940811e-08
v uzhe,8.14733290565e-08
{{ab\positive}} wd,0.00143085113516
{{nb\Negative}},7.98642308076e-05
v {{nb\negative},1.11669381638e-05
{{db\positive}} {{vb\negative},9.18438654288e-05
v {{adb\Positive},1.52762491981e-08
d {{ab\negative},3.08713686926e-06
n {{vlb\positive},7.20909461764e-07
uden {{bb\positive},3.34725085003e-05
ulia m,0.00330771022595
u,0.0205850054907
ule {{vnb\positive},9.5489841183e-06
{{vnb\negative}} {{vnb\negative},3.99321154038e-05
c {{vb\Negative},8.95338910399e-08
{{vb\negative}} v,0.0124805222426
vyou {{nb\negative}},0.000190786773596
